Evento,Nombre,Apellido,Pais,Arrancada,Dos_Tiempos,Total,Año,Género
64 kg (18.04),Mariya,Hanhur,Ucrania,98.0,116.0,214.0,2023,Femenino
71 kg (19.04),Giulia,Miserendino,Italia,105.0,125.0,230.0,2023,Femenino
76 kg (20.04),Tatev,Hakobian,Armenia,104.0,122.0,226.0,2023,Femenino
81 kg (21.04),Dilara,Narin,Turquía,101.0,134.0,235.0,2023,Femenino
87 kg (22.04),Anastasiya,Manievska,Ucrania,108.0,130.0,238.0,2023,Femenino
+87 kg (23.04),Anastasiya,Hotfrid,Georgia,117.0,135.0,252.0,2023,Femenino
55 kg (13.02),Ramin,Shamilishvili,Georgia,111.0,130.0,241.0,2024,Masculino
61 kg (13.02),Ivan,Dimov,Bulgaria,130.0,150.0,280.0,2024,Masculino
67 kg (14.02),Kaan,Kahriman,Turquía,142.0,168.0,310.0,2024,Masculino
73 kg (15.02),Muhammed,Özbek,Turquía,150.0,186.0,336.0,2024,Masculino
81 kg (16.02),Kristi,Ramadani,Albania,151.0,190.0,341.0,2024,Masculino
89 kg (17.02),Antonino,Pizzolato,Italia,170.0,210.0,380.0,2024,Masculino
96 kg (18.02),Davit,Hovhannisian,Armenia,169.0,205.0,374.0,2024,Masculino
102 kg (19.02),Samvel,Gasparian,Armenia,180.0,216.0,396.0,2024,Masculino
109 kg (19.02),Jristo,Jristov,Bulgaria,175.0,205.0,380.0,2024,Masculino
+109 kg (20.02),Simon,Martirosian,Armenia,190.0,247.0,437.0,2024,Masculino
45 kg (12.02),Gamze,Altun,Turquía,65.0,92.0,157.0,2024,Femenino
49 kg (12.02),Oliwia,Drzazga,Polonia,74.0,96.0,170.0,2024,Femenino
55 kg (13.02),Celine,Delia,Italia,84.0,111.0,195.0,2024,Femenino
59 kg (14.02),Dora,Tchakounté,Francia,98.0,117.0,215.0,2024,Femenino
64 kg (15.02),Svitlana,Samuliak,Ucrania,101.0,118.0,219.0,2024,Femenino
71 kg (16.02),Siuzanna,Valodzka,AIN,105.0,130.0,235.0,2024,Femenino
76 kg (17.02),Nikol,Rubanovich,Israel,99.0,117.0,216.0,2024,Femenino
81 kg (18.02),Elena,Erighina,Moldavia,103.0,131.0,234.0,2024,Femenino
87 kg (19.02),Anastasiya,Manievska,Ucrania,102.0,128.0,230.0,2024,Femenino
+87 kg (20.02),Anastasiya,Hotfrid,Georgia,117.0,140.0,257.0,2024,Femenino
55 kg (04.04),Dmytro,Voronovsky,Ucrania,110.0,137.0,247.0,2021,Masculino
61 kg (04.04),Ferdi,Hardal,Turquía,130.0,157.0,287.0,2021,Masculino
67 kg (05.04),Valentin,Guenchev,Bulgaria,138.0,177.0,315.0,2021,Masculino
