Evento,Año,Género,Medalla,Nombre,Apellido,Pais,Arrancada,Dos_Tiempos,Total
61 kg (29.05),2022,Masculino,Plata,Simon,Brandhuber,Alemania,134.0,152.0,286.0
67 kg (30.05),2022,Masculino,Plata,Shota,Mishvelidze,Georgia,142.0,165.0,307.0
73 kg (31.05),2022,Masculino,Plata,Kaji,Asanidze,Georgia,150.0,176.0,326.0
81 kg (01.06),2022,Masculino,Plata,Andrés,Mata Pérez,España,160.0,186.0,346.0
89 kg (02.06),2022,Masculino,Plata,Karlos,Nasar,Bulgaria,171.0,211.0,382.0
96 kg (03.06),2022,Masculino,Plata,Ara,Aghanian,Armenia,170.0,205.0,375.0
102 kg (04.06),2022,Masculino,Plata,Samvel,Gasparian,Armenia,176.0,214.0,390.0
109 kg (04.06),2022,Masculino,Plata,Guiorgui,Chjeidze,Georgia,174.0,210.0,384.0
+109 kg (05.06),2022,Masculino,Plata,Varazdat,Lalayan,Armenia,211.0,240.0,451.0
45 kg (28.05),2022,Femenino,Plata,Cansu,Bektaş,Turquía,68.0,85.0,153.0
49 kg (28.05),2022,Femenino,Plata,Anhelina,Lomachynska,Ucrania,80.0,87.0,167.0
55 kg (29.05),2022,Femenino,Plata,Kamila,Konotop,Ucrania,94.0,11.0,207.0
59 kg (30.05),2022,Femenino,Plata,Lucrezia,Magistris,Italia,98.0,114.0,212.0
64 kg (31.05),2022,Femenino,Plata,Nuray,Güngör,Turquía,99.0,120.0,219.0
71 kg (01.06),2022,Femenino,Plata,Lisa,Marie Schweizer,Alemania,103.0,120.0,223.0
76 kg (02.06),2022,Femenino,Plata,Daniela,Ivanova,Letonia,96.0,126.0,222.0
81 kg (03.06),2022,Femenino,Plata,Alina,Marushchak,Ucrania,108.0,127.0,235.0
87 kg (04.06),2022,Femenino,Plata,Anastasiya,Manievska,Ucrania,107.0,130.0,237.0
+87 kg (05.06),2022,Femenino,Plata,Melike,Günal,Turquía,108.0,134.0,242.0
55 kg (16.04),2023,Masculino,Plata,Ramin,Shamilishvili,Georgia,113.0,136.0,249.0
61 kg (16.04),2023,Masculino,Plata,Sergio,Massidda,Italia,130.0,162.0,292.0
67 kg (17.04),2023,Masculino,Plata,Acorán,Hernández Mendoza,España,140.0,165.0,305.0
73 kg (18.04),2023,Masculino,Plata,David,Sánchez López,España,150.0,185.0,335.0
